inception,1
before-i-fall,0.891178
moulin-rouge!,0.840712
varsity-blues,0.831578
the-spongebob-squarepants-movie,0.813292
ladron-que-roba-a-ladron,0.809546
terminator-salvation,0.769639
the-usual-suspects,0.762474
signs,0.759376
cowboys-aliens,0.756183
fast-five,0.748155
takers,0.739412
charlie-and-the-chocolate-factory,0.724133
the-color-of-money,0.721352
ghosts-of-girlfriends-past,0.714009
the-town,0.710674
thief,0.710476
still-life,0.709072
the-time-travelers-wife,0.708293
natural-born-killers,0.707318
sliding-doors,0.697664
17-again,0.696157
battle-of-the-year,0.688313
hot-tub-time-machine,0.687513
epic-movie,0.66972
push,0.665064
where-in-the-world-is-osama-bin-laden,0.662456
state-of-play,0.655204
the-adjustment-bureau,0.652968
far-from-heaven,0.648124
honey,0.643356
ida,0.642774
valentines-day,0.641723
the-one,0.629966
take-the-lead,0.627928
edge-of-tomorrow,0.627547
jack-ryan-shadow-recruit,0.627039
good-hair,0.626622
ps-i-love-you,0.623296
the-world-is-not-enough,0.621272
the-brothers-bloom,0.619214
grind,0.615847
my-big-fat-greek-wedding-2,0.614725
gangster-squad,0.611347
23-blast,0.610645
monsters-inc,0.610559
ghost-world,0.610336
the-longest-ride,0.603553
philadelphia,0.599652
savages,0.595327
